pca_components,n_clusters,silhouette_score,explained_variance
2,2,0.3546452820301056,0.4724143147468567
2,3,0.27175503969192505,0.4724143147468567
2,4,0.328403502702713,0.4724143147468567
8,2,0.2025761604309082,0.8123005628585815
8,3,0.14460940659046173,0.8123005628585815
8,4,0.14198999106884003,0.8123005628585815
16,2,0.17785881459712982,0.9213582277297974
16,3,0.13219361007213593,0.9213582277297974
16,4,0.10691774636507034,0.9213582277297974
